case_id,original_designer_name,original_brand_name,original_item_type,original_design_elements,original_year,copier_brand_name,copier_item_type,copy_year,infringement_label,confidence,source,notes
DP_CUR_001,Emma Mulholland,Emma Mulholland,Apparel,"Bright tropical fruit prints featuring watermelons, bananas, and pineapples, bold primary colors on white background, playful retro summer aesthetic with geometric placement",2014,H&M,Apparel,2016,knockoff,high,Diet Prada,"Direct fruit print copy, public Instagram callout led to awareness campaign"
DP_CUR_002,Bailey Prado,Bailey Doesnt Bark,Home Decor,"Original tapestry with abstract female faces in bold line art, contemporary illustration style, warm earth tones with terracotta and cream",2017,Urban Outfitters,Home Decor,2018,knockoff,high,Diet Prada,"Exact tapestry design replicated, led to public dispute and eventual resolution"
DP_CUR_003,Adam J Kurtz,Adam J Kurtz,Accessories,"Hand-lettered motivational and snarky phrases in minimalist black and white typography, quirky sayings like ""1-800-ARE-YOU-OK"", casual handwritten aesthetic",2015,Multiple fast fashion retailers,Accessories,2017,knockoff,high,Diet Prada,Multiple retailers copied distinctive hand-lettered designs across products
DP_CUR_004,Amelia Toro,Amelia Toro,Apparel,"Intricate white cotton dress with delicate floral embroidery patterns, Colombian artisan hand-stitched craftsmanship, romantic tiered silhouette with ruffled hem",2016,Zara,Apparel,2017,knockoff,high,Diet Prada,"Nearly identical embroidered dress design, pattern and silhouette replicated"
DP_CUR_005,Sophie Tea,Sophie Tea Art,Apparel,"Colorful illustrations of diverse female figures with empowerment themes, bold expressive brush strokes, vibrant pink and orange color palette, body-positive messaging",2018,Shein,Apparel,2019,knockoff,high,Diet Prada,Artist illustration style and specific designs copied onto mass-produced apparel
DP_CUR_006,Hayden Reis,Hayden Reis,Apparel,"Rainbow stripe knitwear with distinctive vertical color blocking, bright gradient from red to violet, chunky knit texture, oversized relaxed fit",2019,Revolve,Apparel,2020,knockoff,high,Diet Prada,Exact rainbow stripe pattern and silhouette copied in knitwear collection
DP_CUR_007,Clare Vivier,Clare V,Accessories,"Foldover leather clutch with distinctive V-shaped flap, minimalist design, premium leather in neutral tones, signature gold zipper detail",2010,Multiple retailers,Accessories,2015,similar,high,Press,Iconic clutch design widely copied with minor variations across fast fashion
DP_CUR_008,Jennifer Fisher,Jennifer Fisher Jewelry,Jewelry,"Oversized gold hoop earrings with thick tubular geometry, chunky statement proportions, high-polish finish, distinctive organic curves",2014,Shein,Jewelry,2020,similar,medium,Diet Prada,Similar oversized hoop geometry and proportions replicated in budget jewelry
DP_CUR_009,Machete,Machete,Accessories,"Italian cellulose acetate hair clips in tortoiseshell pattern, geometric squared shapes, premium material quality, bold color variations",2016,Anthropologie,Accessories,2019,similar,medium,Press,Similar acetate hair accessory shapes and patterns at lower price point
DP_CUR_010,Wolf Circus,Wolf Circus,Jewelry,"Sculptural minimalist jewelry with geometric gold forms, delicate stacking rings, abstract shapes inspired by modern art, matte and polished finishes",2017,Amazon sellers,Jewelry,2020,knockoff,high,Press,Exact ring designs replicated by multiple Amazon third-party sellers
