case_id,original_designer_name,original_brand_name,original_item_type,original_design_elements,original_year,copier_brand_name,copier_item_type,copy_year,infringement_label,confidence,source,notes
CURATED_050,Maggie Marilyn,Maggie Marilyn,Apparel,"Sustainable fashion with distinctive ruched sleeves and ribbon tie details, romantic feminine aesthetic, ethical production messaging",2016,Zara,Apparel,2019,similar,medium,Press,Sustainable designer aesthetic copied by fast fashion
CURATED_051,Chromat,Chromat,Apparel,"Architectural swimwear with cage-like structures, geometric cutouts, body-positive sizing, structural engineering-inspired design",2010,Multiple retailers,Apparel,2017,similar,medium,Press,Cage swimwear aesthetic widely adopted after runway success
CURATED_052,Ganni,Ganni,Apparel,"Bright floral midi dresses with puffed sleeves, Scandinavian maximalist prints, romantic cottagecore aesthetic, statement collars",2017,H&M,Apparel,2020,similar,medium,Press,Signature print dresses and aesthetic widely copied
CURATED_053,Simone Rocha,Simone Rocha,Accessories,"Pearl-embellished hair clips and barrettes, oversized pearl decorations, feminine romantic details",2018,Shein,Accessories,2020,knockoff,high,Diet Prada,Signature pearl hair accessories mass-produced
CURATED_054,Gogo Graham,Gogo Graham,Accessories,"Upcycled vintage scarf bags, repurposed luxury silk scarves into structured handbags, sustainable luxury approach",2015,Multiple retailers,Accessories,2019,similar,medium,Press,Scarf bag concept widely adopted
CURATED_055,Collina Strada,Collina Strada,Apparel,"Tie-dye sustainable fashion with maximalist patterns, upcycled materials, bright psychedelic colors, eco-conscious messaging",2016,Fast fashion retailers,Apparel,2020,similar,medium,Press,Sustainable tie-dye aesthetic copied without eco-conscious practices
CURATED_056,Sia Arnika,Sia Arnika,Jewelry,"Colorful glass bead choker necklaces, vibrant multi-colored patterns, beach-inspired aesthetic, handmade quality",2019,Urban Outfitters,Jewelry,2021,knockoff,high,Diet Prada,Beaded choker designs replicated closely
CURATED_057,Charlotte Knowles,Charlotte Knowles,Apparel,"Deconstructed corset tops with visible boning, cutout details, body-conscious tailoring, modern structural design",2018,Fashion Nova,Apparel,2020,knockoff,high,Press,Signature corset designs mass-produced
CURATED_058,Lisa Says Gah,Lisa Says Gah,Apparel,"Vintage-inspired gingham prints, puffy sleeves, romantic feminine silhouettes, sustainable small-batch production",2015,Zara,Apparel,2019,similar,medium,Press,Gingham dress aesthetic widely copied
CURATED_059,Han Cholo,Han Cholo,Jewelry,"Chicano-inspired silver jewelry, lowrider culture motifs, detailed engravings, cultural heritage designs",2007,Forever 21,Jewelry,2015,similar,medium,Press,Cultural designs appropriated without context
EXPANDED_001,House of Aama,House of Aama,Apparel,"African heritage knitwear with traditional patterns, handknit textiles in earth tones, cultural storytelling through crochet and knit techniques",2015,Zara,Apparel,2021,similar,medium,Press,Black-owned brand knitwear aesthetic adopted by fast fashion
